object_id,name,location_label,location_name,type,accession,negative_number,upload_fname
10677,bottom of ring-based tumbler or vase,,,,1933.553,1933'557a~01,"Dura-Europos archival photograph, YUAG negative number 1933'557a~01 -object-id-10677.jpg"
10678,opaque cream-colored bowl frag.,,,,1933.552,1933'553~01,"Dura-Europos archival photograph, YUAG negative number 1933'553~01 -object-id-10678.jpg"
10679,opaque cream-colored glass cup,,,,1933.551d,1933'552~01,"Dura-Europos archival photograph, YUAG negative number 1933'552~01 -object-id-10679.jpg"
10680,base of square glass bottle,,,,1933.551c,1933'551d~01,"Dura-Europos archival photograph, YUAG negative number 1933'551d~01 -object-id-10680.jpg"
10681,base of square glass bottle,,,,1933.551a,1933'551c~01,"Dura-Europos archival photograph, YUAG negative number 1933'551c~01 -object-id-10681.jpg"
10682,base of square glass bottle,,,,1933.457f,1933'551a~01,"Dura-Europos archival photograph, YUAG negative number 1933'551a~01 -object-id-10682.jpg"
10687,bone pin,,,,1933.426m,1933'426w~01,"Dura-Europos archival photograph, YUAG negative number 1933'426w~01 -object-id-10687.jpg"
10694,bone button,,,,1933.416,1933'419~01,"Dura-Europos archival photograph, YUAG negative number 1933'419~01 -object-id-10694.jpg"
10712,bone dice,,,,1932.397,1932'409~01,"Dura-Europos archival photograph, YUAG negative number 1932'409~01 -object-id-10712.jpg"
10713,bone doll,,,,1932.1714,1932'397~01,"Dura-Europos archival photograph, YUAG negative number 1932'397~01 -object-id-10713.jpg"
10721,bone pin,,,,1932.1249,1932'1652~01,"Dura-Europos archival photograph, YUAG negative number 1932'1652~01 -object-id-10721.jpg"
10724,Dura Europos (Salahiyeh) Excavation Photo,,,,1930.646c,1930'714~01,"Dura-Europos archival photograph, YUAG negative number 1930'714~01 -object-id-10724.jpg"
10725,black and white bead,,,,1930.608,1930'646~01,"Dura-Europos archival photograph, YUAG negative number 1930'646~01 -object-id-10725.jpg"
10726,carved and pierced bone tool,,,,1930.607f,1930'608~01,"Dura-Europos archival photograph, YUAG negative number 1930'608~01 -object-id-10726.jpg"
10727,fragment of dark colored glass,,,,1929.723,1930'606a~01,"Dura-Europos archival photograph, YUAG negative number 1930'606a~01 -object-id-10727.jpg"
10728,glass bottle,,,,1929.388o,1929'430~01,"Dura-Europos archival photograph, YUAG negative number 1929'430~01 -object-id-10728.jpg"
10729,core-formed glass fragment,,,,1982.28.122,1929'388a~01,"Dura-Europos archival photograph, YUAG negative number 1929'388a~01 -object-id-10729.jpg"
10730,wooden arrow shaft,,,,1938.4940 (?),1982'28'122~01,"Dura-Europos archival photograph, YUAG negative number 1982'28'122~01 -object-id-10730.jpg"
10732,bone pin,,,,1938.97,1938'975~01,"Dura-Europos archival photograph, YUAG negative number 1938'975~01 -object-id-10732.jpg"
