object_id,name,link,image_link,location_label,location_name,type,accession,negative_number,image_source,image_type
13724,"Main Gate (Palmyrene Gate), three altars on s. wall",https://library.artstor.org/#/asset/SS7730479_7730479_10872290,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895210.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b23~01,Dura field photo,glass negative
13714,"Main Gate (Palmyrene Gate), door to s. tower seen from door to n. tower",https://library.artstor.org/#/asset/SS7730479_7730479_10872330,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895220.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b24~01,Dura field photo,glass negative
13702,Main Gate (Palmyrene Gate) from outside city,https://library.artstor.org/#/asset/SS7730479_7730479_10872378,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895232.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b252~01,Dura field photo,film negative
13698,"Main Gate (Palmyrene Gate), SW Tower, fresco frag",https://library.artstor.org/#/asset/SS7730479_7730479_10872394,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895236.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),fresco,,dura-b258~01,Dura field photo,glass negative
13696,"Main Gate (Palmyrene Gate), e. side, closing of central door",https://library.artstor.org/#/asset/SS7730479_7730479_10872402,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895238.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b26~01,Dura field photo,glass negative
13676,"Main Gate (Palmyrene Gate), N side passage with inscriptions",https://library.artstor.org/#/asset/SS7730479_7730479_10872482,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895258.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),inscription,,dura-b268~01,Dura field photo,glass negative
13673,"Main Gate (Palmyrene Gate), altar on s. side",https://library.artstor.org/#/asset/SS7730479_7730479_10872489,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895260.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b27~01,Dura field photo,glass negative
13672,"Main Gate (Palmyrene Gate), hole for door bar, N side",https://library.artstor.org/#/asset/SS7730479_7730479_10872494,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895261.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b270~01,Dura field photo,film negative
13671,"Main Gate (Palmyrene Gate), hole for door bar N side",https://library.artstor.org/#/asset/SS7730479_7730479_10870623,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895262.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,,dura-b270a~01,Dura field photo,film negative
13670,"Main Gate (Palmyrene Gate), South Tower viewed from above",https://library.artstor.org/#/asset/SS7730479_7730479_10870629,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895263.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b270b~01,Dura field photo,glass negative
13669,"Main Gate (Palmyrene Gate), hole for door bar",https://library.artstor.org/#/asset/SS7730479_7730479_10870635,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895264.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b270c~01,Dura field photo,film negative
13668,"Main Gate (Palmyrene Gate), altars on South side",https://library.artstor.org/#/asset/SS7730479_7730479_10870641,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895265.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,,dura-b270d~01,Dura field photo,film negative
13667,"Main Gate (Palmyrene Gate), Inscription Adaios on wall, N side between central and desert arch",https://library.artstor.org/#/asset/SS7730479_7730479_10870647,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895266.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),inscription,,dura-b270e~01,Dura field photo,film negative
13666,"Main Gate (Palmyrene Gate), NE Tower, outside stairway",https://library.artstor.org/#/asset/SS7730479_7730479_10870651,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895267.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,,dura-b270f~01,Dura field photo,film negative
13665,"Main Gate (Palmyrene Gate), SE Tower, floor fallen in",https://library.artstor.org/#/asset/SS7730479_7730479_10870657,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895268.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b271~01,Dura field photo,glass negative
13664,"Main Gate (Palmyrene Gate), altar",https://library.artstor.org/#/asset/SS7730479_7730479_10870663,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895269.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b272~01,Dura field photo,glass negative
13663,"Main Gate (Palmyrene Gate), SE Tower, floor fallen in",https://library.artstor.org/#/asset/SS7730479_7730479_10870669,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895270.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b273~01,Dura field photo,glass negative
13662,"Main Gate (Palmyrene Gate), inscription, N wall",https://library.artstor.org/#/asset/SS7730479_7730479_10870673,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895271.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),inscription,,dura-b274~01,Dura field photo,glass negative
13661,"Main Gate (Palmyrene Gate), S wall, inscription (D31)",https://library.artstor.org/#/asset/SS7730479_7730479_10870679,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895272.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,,dura-b275~01,Dura field photo,glass negative
13660,"Main Gate (Palmyrene Gate), altar - South side",https://library.artstor.org/#/asset/SS7730479_7730479_10870685,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895273.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),altar,,dura-b276~01,Dura field photo,glass negative
13652,"Main Gate (Palmyrene Gate), springing of central arch, n. side",https://library.artstor.org/#/asset/SS7730479_7730479_10870700,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895276.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),painting,,dura-b28~01,Dura field photo,film negative
13621,"Main Gate (Palmyrene Gate), plaster steps, foot of n. tower, city side",https://library.artstor.org/#/asset/SS7730479_7730479_10870841,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895305.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b31~01,Dura field photo,glass negative
